area_name,event_date,kind,category,title,summary,source_name,source_url
南相馬市,2025-10-06,行政施策,公共インフラ・まちづくり,復興整備計画の変更公表,南相馬市と福島県が共同作成する復興整備計画について第34回変更が公表されています。,南相馬市公式ウェブサイト,https://www.city.minamisoma.lg.jp/portal/sections/12/1230/870.html
南相馬市,2026-01-30,行政施策,産業・商業,復興推進計画の認定,南相馬市から申請された利子補給を内容とする復興推進計画が認定されています。,復興庁,https://www.reconstruction.go.jp/topics/cat-11/cat-45/202601281700249298/
南相馬市,2025-09-12,新しい連携,生活支援・医療,ドローン調剤配達・遠隔服薬管理サポート,浜通り復興リビングラボの継続事業として、服薬サービス事業が示されています。,復興庁,https://www.reconstruction.go.jp/topics/cat-11/cat-41/cat-136/202509120949098750/
南相馬市,2025-09-11,住民活動・教育,学校・地域行事,小学生向け交流イベント,南相馬市で小学生を対象に自由研究や交流の機会をつくるイベントが実施されています。,NPO法人日本教育再興連盟,https://kyouikusaikou.jp/26014/
南相馬市,2026-07-13,報道,産業・商業,小高区の新しい産業の動き,避難指示解除から10年の小高区について、大型農業施設や新たな事業の動きが報じられています。,福島テレビ,https://www.fukushima-tv.co.jp/localnews/2026/07/2026071300000009.html
川内村,2025-05-28,報道・視察,産業・商業,Cafe＆Gallery秋風舎とかわうちワイナリーの視察,復興副大臣の福島県訪問で、川内村の地域拠点・産業関連施設が訪問先として示されています。,復興庁,https://www.reconstruction.go.jp/s/2025/05/20250528094100.html
大熊町,2025-05-28,報道・視察,学校・地域行事,学び舎ゆめの森の視察,復興副大臣の福島県訪問で、大熊町の学び舎ゆめの森が訪問先として示されています。,復興庁,https://www.reconstruction.go.jp/s/2025/05/20250528094100.html
大熊町,2025-05-28,報道・視察,産業・商業,次世代グリーンCO2燃料技術研究組合の視察,復興副大臣の福島県訪問で、大熊町の次世代グリーンCO2燃料技術研究組合が訪問先として示されています。,復興庁,https://www.reconstruction.go.jp/s/2025/05/20250528094100.html
楢葉町,2025-05-28,報道・視察,生活機能,シェアハウスと食堂の視察,復興副大臣の福島県訪問で、楢葉町のシェアハウスと食堂kashiwayaが訪問先として示されています。,復興庁,https://www.reconstruction.go.jp/s/2025/05/20250528094100.html
田村市,2025-05-28,報道・視察,産業・商業,地域産業関連施設の視察,復興副大臣の福島県訪問で、田村市の株式会社ホップジャパンが訪問先として示されています。,復興庁,https://www.reconstruction.go.jp/s/2025/05/20250528094100.html
浪江町,2025-09-12,新しい連携,公共インフラ・生活改善,ドローン・画像解析による森林管理の効率化,浜通り復興リビングラボの事業として、浪江町で高線量下の森林管理を効率化する取り組みが示されています。,復興庁,https://www.reconstruction.go.jp/topics/cat-11/cat-41/cat-136/202509120949098750/
浪江町,2025-09-12,新しい連携,生活機能,気象情報活用による安全・安心なまちづくり支援,浜通り復興リビングラボの完了事業として、浪江町で気象情報活用による業務支援が示されています。,復興庁,https://www.reconstruction.go.jp/topics/cat-11/cat-41/cat-136/202509120949098750/
富岡町,2025-09-12,新しい連携,行政サービス,行政窓口のユニバーサル対応・外国人対応,浜通り復興リビングラボの完了事業として、富岡町を含む行政窓口対応支援が示されています。,復興庁,https://www.reconstruction.go.jp/topics/cat-11/cat-41/cat-136/202509120949098750/
楢葉町,2025-09-12,新しい連携,行政サービス,行政窓口のユニバーサル対応・外国人対応,浜通り復興リビングラボの完了事業として、楢葉町を含む行政窓口対応支援が示されています。,復興庁,https://www.reconstruction.go.jp/topics/cat-11/cat-41/cat-136/202509120949098750/
双葉町,2025-09-12,新しい連携,公共インフラ・生活改善,道路変化点の検知支援,浜通り復興リビングラボの事業として、双葉町を含む道路修繕必要箇所の検知支援が示されています。,復興庁,https://www.reconstruction.go.jp/topics/cat-11/cat-41/cat-136/202509120949098750/
広野町,2025-09-12,新しい連携,産業・商業,脱炭素型・高収益稲作体系の検証,浜通り復興リビングラボの継続事業として、広野町を含むカーボンクレジットを活用した稲作体系の検証が示されています。,復興庁,https://www.reconstruction.go.jp/topics/cat-11/cat-41/cat-136/202509120949098750/
飯舘村,2025-09-12,新しい連携,公共インフラ・生活改善,ドローンを活用した森林測量の効率性向上,浜通り復興リビングラボの完了事業として、飯舘村を含む森林測量・管理の取り組みが示されています。,復興庁,https://www.reconstruction.go.jp/topics/cat-11/cat-41/cat-136/202509120949098750/
川俣町,2024-10-26,教育・地域行事,学校・地域行事,山木屋太鼓を地域と発表,福島県教育復興推進事業で、山木屋中学校が地域の伝統文化に関わる活動を行ったことが示されています。,福島イノベーション・コースト構想推進機構,https://www.fipo.or.jp/torikumi/
田村市,2024-10-23,教育・地域行事,学校・地域行事,都路小学校の地域学習,福島県教育復興推進事業で、都路小学校が地域の特産品や伝統について学ぶ活動を行ったことが示されています。,福島イノベーション・コースト構想推進機構,https://www.fipo.or.jp/torikumi/
